is_hazmat,reason,item_id,title,description,domain_id
True,"Contém bateria de lítio, que é um material perigoso devido ao risco de incêndio.",MLB38325159,Triciclo Elétrico Motor 3000w Bateria Lítio Scooter,,MLB-ADULT_ELECTRIC_TRICYCLES
False,"É um inflável com LED que simula fogo, não contendo materiais explosivos ou inflamáveis.",MLB52287665,Máquina de fogos de artifício realista Skydancer Red LED,"Apresentamos a máquina de fogo de artifício LED realista Skydancer Red, um produto projetado para adicionar um toque vibrante e espetacular aos seus eventos. Com um tecido vermelho ardente, sua aparência cativa desde o início. Este inflável, que simula fogo, tem um diâmetro de 46 cm, tornando-o perfeito para qualquer espaço. Sua durabilidade é impressionante, com uma vida útil de 50.000 horas, garantindo longas horas de entretenimento. Pesando apenas 2,8 kg, é fácil de transportar. Ele opera com uma tensão de 110 - 220 VAC e tem uma classificação IP20, tornando-o adequado para uso interno. Seu consumo de energia é de 110W e é equipado com 36 LEDs, 30 deles vermelhos e 6 azuis, que geram iluminação vibrante e dinâmica. Ideal para festas, celebrações ou apresentações, este modelo Sky Fuego é uma adição indispensável a qualquer sala de estar.",MLB-ADVERTISING_INFLATABLES
True,"Cremes alisantes frequentemente contêm produtos químicos fortes, como hidróxido de sódio ou tioglicolatos, que podem ser corrosivos ou irritantes para a pele e olhos, classificando-os como materiais perigosos.",MLB21704661,"Creme Alisante Instantâneo, Alisamento Americano White",,MLB-AFTERSHAVES
False,"É um brinquedo musical de madeira e não contém substâncias perigosas, inflamáveis, corrosivas ou tóxicas.",MLB59904949,Musicalização Agogô 1 Par Brinquedo Educativo Carlu 1943,"Agogô Instrumento/brinquedo que imita som musical idiofônico, confeccionado em madeira, ideal para estimular a criatividade e o aprendizado musical das crianças. Este produto inclui 01 par de Agogô, cada um composto por 02 bocas/campânulas, e acompanha uma baqueta/bastão de madeira de 17 cm, perfeita para tocar. Com medidas de 9 x 3 x 22 cm, é leve e fácil de manusear, tornando-se uma excelente opção para crianças a partir de 3 anos. A embalagem é prática, em saco plástico com solapa colorida em papel couchê, facilitando o transporte e armazenamento. O peso total da embalagem é de 418 g, com dimensões de 31 cm de altura, 4 cm de comprimento e 13 cm de largura. Este brinquedo educativo da marca Carlu, modelo 1943, é uma ótima escolha para introduzir os pequenos no mundo da música de forma divertida e envolvente.",MLB-AGOGOS
True,Inseticidas líquidos são geralmente classificados como materiais tóxicos ou venenosos.,MLB59396360,Oll de Orange FOLIAR - INSETICIDA LIQUIDO,,MLB-AGRICULTURAL_ADJUVANTS
False,"O produto é uma roçadeira agrícola, uma máquina mecânica. Não há indicação de materiais perigosos como inflamáveis, corrosivos, tóxicos, explosivos, gases comprimidos ou outros materiais regulamentados como parte do produto a ser enviado.",MLB65604272,"Roçadeira Hidráulica Agrícola 1,10 Mts - Transmissão Direta Cardan","Principais características:

A melhor Roçadeira do mercado. 

- Sistema de transmissão direta com cardan e embreagem
- Roda para controle de altura
- Regulagem de altura nas sapatas com sistema de furos
- Proteção contra arremesso de objetos
- Caixa de transmissão com giro livre (540RPM)
- Largura de corte: 1.100 mm
- Número de facas: 2
- Altura de corte: 40 a 170 mm
- Acoplamento ao trator: CAT I / II 
- Potência mínima do trator: 24 CV

",MLB-AGRICULTURAL_BRUSH_CUTTER_MACHINES
True,"O produto é um inseticida/acaricida, que se enquadra na categoria de materiais tóxicos/venenosos.",MLB59342283,Óleo vegetal adjuvante agrícola 1lt,"ÓLEO VEGETAL X 1 lt AGRO OLEO 
 ************************************** 
 Concentrado emulsionável à base de óleo vegetal de soja Antievaporante, adjuvante, inseticida, acaricida 
 
 PROPRIEDADES: 
 Cria uma película protetora, evitando a evaporação de produtos causada por altas temperaturas e baixa umidade ambiental. 
 — Melhor aderência, menor tensão superficial. 
 — Uso máximo do aplicativo. 
 — Facilita a penetração no interior da planta devido à sua afinidade com a superfície cerosa. 
 
 VANTAGENS: 
 — É biodegradável, não deixa resíduos 
 — Não tem impacto ambiental porque é vegetal 
 — Não tóxico, fácil de usar e seguro de manusear 
 — Não tem resíduos aromáticos 
 — Não gera resistência em insetos, pois age por asfixia 
 — Adequado para aplicações aéreas e terrestres. 
 — Evite a perda do ingrediente ativo devido à hidrólise, evaporação, deriva, lavagem e fotodecomposição em aplicações pós-emergentes de todos os tipos de culturas. 
 — Melhora a aderência à lâmina, ajudando o produto a penetrar. 
 
 CARACTERÍSTICAS: 
 É um inseticida de contato com alto poder de controle de insetos em plantas cultivadas, sendo muito específico para o controle de cochonilhas e ácaros. É de toxicidade moderada para humanos. Lidar com eles não representa um grande risco. Não é fitotóxico na dose recomendada. Seu uso como óleo adjuvante favorece o contato do produto químico utilizado com a superfície da planta. 
 
 Cultivos: 
 Árvores de pepita e frutas cítricas. 
 
 Insetos que controla: 
 Aranha vermelha europeia (Panonychus Ulmi) e cochonilha vermelha australiana (Sconidiella Auranti). 
 
 Dosagem como inseticida e adjuvante: 
 0,5 a 1 litro por 100 litros de água. 
 
 COMPATIBILIDADE: 
 O produto é compatível com os inseticidas e fungicidas mais usados, exceto produtos altamente alcalinos, como enxofre, captan, dinitro, derivados, dithianon e folpe, como produtos enlatados, como cihexatina. 
 
 IMPORTANTE: 
 A empresa não assume responsabilidade pelos resultados e/ou danos derivados do uso indevido ou usos diferentes dos indicados no rótulo e declina toda responsabilidade por danos resultantes do armazenamento. 
 
 AVISO DE CONSULTA TÉCNICA: Consulte um engenheiro agrônomo",MLB-AGRICULTURAL_FERTILIZERS
True,"O produto possui ação inseticida e fungicida, indicando a presença de substâncias tóxicas ou venenosas.",MLB41738231,"CodipaFertilizantes Fertilizante Ação Inseticida, Fungicida",,MLB-AGRICULTURAL_FUNGICIDES
True,"Herbicidas são materiais tóxicos/venenosos e, portanto, classificados como materiais perigosos.",MLB59327267,Herbicida Dicamba X 58% X 1 Lt,"HERBICIDA DICAMBA 58% X 1 LT 
 ************************************************* 
 Ingrediente ativo: Dicamba 58% 
 Culturas: sementes de canário, aveia, campos de pastagem, campos de grama natural, cana-de-açúcar, cevada, centeio, cereais de inverno, linho, milho, painço, capim, sorgo, trigo",MLB-AGRICULTURAL_HERBICIDES
True,Inseticidas e acaricidas são materiais tóxicos/venenosos.,MLB66571824,Inseticida acaricida de base Diazinon Trident Horta 25% 240 ml,,MLB-AGRICULTURAL_INSECTICIDES
True,"Herbicidas são produtos químicos tóxicos usados para matar plantas, classificando-os como materiais perigosos.",MLB37821204,Herbicida AKB Retira Mato Eficaz 5L P/ Eliminar Vegetação Indesejada,"O 'Sem Capim - Mato Alto - Braquiaria' é a solução ideal para quem busca eliminar a vegetação indesejada de forma eficaz e prática. Este produto, que vem em uma embalagem de caixa contendo 5 sachês, rende até 5 litros de solução, garantindo um excelente custo-benefício. Com a marca AKB, reconhecida pela qualidade de seus produtos, o 'Retira Mato' é 100% eficaz na remoção de mato, proporcionando resultados visíveis rapidamente. Cada sachê contém líquido e é novo, com validade garantida, assegurando a eficácia do produto. Ideal para uso em forrageiras, este herbicida é uma escolha inteligente para quem deseja manter áreas limpas e produtivas. Não perca a oportunidade de transformar seu espaço com a tecnologia de ponta da Kelldrin, fabricante de confiança no mercado.",MLB-AGRICULTURAL_SEEDS
False,Pneus não são classificados como materiais perigosos para transporte.,MLB58189649,Xbri Agrícola 385/65r22.5 385/65R22.5,,MLB-AGRICULTURAL_TIRES
False,"O produto é uma caixa dosadora e distribuidora de sementes, que não contém materiais perigosos como inflamáveis, corrosivos, tóxicos ou explosivos.",MLB54099600,Caixa Dosadora E Distribuidora De Sementes,,MLB-AGRICULTURAL_VARIABLE_RATE_CONTROLLERS
False,"É uma peça mecânica (roda guia) para equipamentos agrícolas, não contendo substâncias perigosas como inflamáveis, corrosivos, tóxicos ou baterias.",MLB58674561,Roda Guia Para Roçadeiras Hidráulicas Agrícola,"Roda Guia Reforçada Para Roçadeiras Hidráulicas – Uso Agrícola

A Roda Guia Reforçada Almeida foi desenvolvida para proporcionar maior estabilidade, regulagem precisa de altura e durabilidade no trabalho agrícola. Fabricada com material de alta resistência, garante desempenho confiável mesmo em condições severas de campo.

Este modelo é 100% compatível com roçadeiras Almeida. Para utilização em equipamentos de outras marcas, pode ser necessária adaptação de acordo com o sistema de fixação.

Vantagens:

Construção robusta e reforçada para uso intensivo
Auxilia no corte uniforme, mantendo a altura da roçadeira regulada
Instalação simples e manutenção prática
Resistência e longa vida útil em operações agrícolas

Especificações Técnicas:

Material: Aço de alta durabilidade
Altura: 255 mm
Largura: 110 mm
Diâmetro do Eixo: 39 mm
Peso Aproximado: 4,20 kg

Compatibilidade:

Totalmente compatível com roçadeiras Almeida
Pode ser adaptada para outros fabricantes (conferir medidas antes da instalação)

Roda Guia Reforçada Almeida: eficiência, robustez e confiabilidade para o melhor desempenho da sua roçadeira hidráulica.",MLB-AGRICULTURAL_WHEELS
True,"O produto é um injetor de oxigênio, o que implica o uso ou contenção de oxigênio comprimido. Oxigênio comprimido é classificado como gás comprimido e oxidante, sendo material perigoso.",MLB25859999,Aerógrafo INJETOR DE OXIGÊNIO PULVERIZAÇÃO Maquiagem Gatilho Ação,,MLB-AIRBRUSHES
False,"Esferas de airsoft são projéteis plásticos e não contêm materiais explosivos, inflamáveis ou tóxicos.",MLB58996699,Munição Esferas Arma Airsoft Bbs 0.20g 6mm 500 Bolinhas,"Esferas plásticas para airsoft no calibre 6mm, ideais para quem busca precisão e desempenho em suas partidas. Cada embalagem contém 500 unidades, garantindo que você tenha sempre munição à disposição. Com uma gramatura de 0.20g, essas esferas proporcionam uma energia cinética mínima de 1 J, tornando-as perfeitas para uso em diversas situações de combate. Fabricadas pela marca B29, as esferas são esféricas e feitas de plástico de alta qualidade, assegurando durabilidade e eficiência. A embalagem adicional protege as esferas, que possuem dimensões de 11 cm de altura, 3 cm de comprimento e 10 cm de largura, pesando 222 g no total. Com essas características, você estará preparado para enfrentar qualquer desafio no campo de batalha.",MLB-AIRGUN_PELLETS
True,"O produto é um cilindro de Green Gas, que é um gás comprimido inflamável, similar ao propano, utilizado em equipamentos de airsoft.",MLB62269560,Cilindro Nautika GBB Green Gas 570ml Compatível Airsoft + Munições Laranja,"Cilindro Gbb Green Gas Taikoon 570ml - Nautika + Bbs

Diferente do Gás Propano, que além de ser uma adaptação e ser prejudicial ao equipamento, o Taikoon Green Gas possui uma fórmula especial, para maximizar a performance e proteger os componentes internos de seu equipamento, não necessitando de bico adaptador.

Foi projetado para ser compatível com todas as armas de Airsoft GBB, já que sua mistura foi aprovada por ROHS (diretriz européia que assegura a restrição de determinadas substâncias perigosas) e não contém CFC.

Aviso importante: Em hipótese alguma, armazene seu Green Gas em local fechado e/ou exposto ao calor regularmente. É muito importante acomodar corretamente seu Green Gas.

Medidas: 27cm x 6,5øcm  
Peso líquido: 270g  
570ml de volume líquido  
Adicional: Aprovado pela ROHS e livre de CFC  
Gás inflamável  

Acompanha:  
- 01 Cilindro GBB Taikoon 570ml  
- 02 Pacotes de Munição com 1000und (Podem variar conforme o estoque, Rossi ou MDC)  

OBS: Marcas e embalagem dos produtos podem variar conforme a disponibilidade em estoque, mas sempre será um produto equivalente ou superior!  

ATENÇÃO: Nos combos que acompanham capa, esta não comporta a luneta acoplada à carabina, somente desmontadas.",MLB-AIRSOFT_GUNS
True,O produto é uma bomba de combustível projetada para manusear líquidos inflamáveis como diesel e querosene.,MLB64426332,"Blackhorse-racing Bomba De Combustível Elétrica Portátil 12V CC, Óleo Diesel De Querosene, Motor De Bomba De Combustível Comercial",,MLB-AIR_COMPRESSORS
False,"É um acessório (mangueira) para um material perigoso (propano), mas não é o material perigoso em si.",MLB45938713,Mangueira de ar de propano de 1/2 polegada com conexões de 1/2 P,,MLB-AIR_COMPRESSOR_HOSES
True,"O produto é um aquecedor a propano. O propano é um gás inflamável e comprimido, classificado como material perigoso.",MLB51968190,"Mr. Heater Mh60qfav Aquecedor Portátil de Ar Forçado a Propano, 60.000 btu","Design adaptado aos seus espaços 
 Prático e fácil de transportar, o ar condicionado portátil reúne tudo em um dispositivo do tamanho de uma mala. Você pode resfriar áreas pequenas sem desperdiçar muita energia, é fácil de instalar e útil em locais onde você não pode colocar um ar dividido ou central.",MLB-AIR_CONDITIONERS
False,"O produto é um filtro de ar condicionado com nanopartículas de prata estáveis para ação bactericida e fungicida. O filtro em si não é classificado como material perigoso para transporte, pois as substâncias ativas estão incorporadas de forma estável e não representam risco durante o transporte.",MLB27431025,Filtro Ar Condicionado Split Bactericida Fungicida Kit C/10,"FILTRO PARA AR CONDICIONADO SPLIT - KIT COM 10 UNIDADES

Filtros de proteção para Ar Condicionado tipo Split que contém a tecnologia de nano partículas de prata estável compatível com todos os modelos do mercado.

Ação biocida, virucida e bactericida que extermina por contato, em menos de 5 minutos, 99% das dos microrganismos que causam doenças respiratórias, prevenindo a contaminação cruzada, já que os mesmos não serão lançados de volta ao ambiente durante o uso do ar condicionado.

Qual a sua função?

Filtrar o ar e evitar que microrganismos, como vírus (COVID e outros), bactérias, partículas sólidas como poluição e outras sujidades sejam lançadas de volta ao ambiente durante o uso do ar condicionado, evitando também a contaminação cruzada, com eficiência de filtragem comprovada de mais de 70%.

- Para ambientes domésticos e corporativos;
- Alto poder de filtragem de partículas diversas;
- Combate vírus, como Covid-19 e outros;
- Acaba com odores desagradáveis;
- Melhora a qualidade do ar e previne alergias respiratórias;
- +de 70% de filtragem bacteriológica (BFE- NORMA 15052);
- Garante a troca e descarte tranquilos, pois o filtro não estará contaminado;
- Elimina e extermina vírus e bactérias que aderem ao filtro;
- O equipamento não perde a potência ou qualidade na refrigeração;
- Produto exclusivo e com patente reconhecida.

Fácil e rápido de instalar, o Filtr.AR tem eficiência testada e aprovada!'.",MLB-AIR_CONDITIONER_FILTERS
False,"A válvula em si não é um material perigoso; é um acessório para um cilindro de gás, que conteria o material perigoso.",MLB38668377,Válvula de cilindro de gás Coflex Ip-450 3/4 Lp,":-: O QUE ESTÁ INCLUÍDO: -: 
 
 - 1 válvula para cilindro de gás Lp de 10 kg a 45 kg de ¾ Coflex modelo IP-450 
 ____________________________________________ 
 
 :-: BENEFÍCIOS: -: 
 
 - Dispositivo de controle que permite ou impede a passagem de combustível do tanque para a rede de tubulação e o equipamento que você deseja abastecer 
 - Feito de latão forjado 
 - Possui uma alça de alumínio com sinais que facilitam o uso 
 - Ótimo desempenho e durabilidade 
 - Para cilindros de 10 a 45 kg 
 
 _____________________________________________ 
 
 :-: ESPECIFICAÇÕES: -: 
 
 - Modelo: IP-450 
 - Alça hexagonal 
 - Pressão de trabalho: 299 a 479 psi 
 - Conexões: Conexão do cilindro: 3/4"" NPT 
 - Conexão à porca esquerda: 7/8"" 
 
 Material: 
: Latão 
 
 ______________________________ _______________",MLB-AIR_CONDITIONER_VALVES
True,"O produto utiliza diesel/querosene, que são líquidos inflamáveis e, portanto, materiais perigosos.",MLB59596451,Aquecedor infravermelho Fema para indústria de diesel/querosene de 15kw,"Aquecedor infravermelho Fema de 15 kW — Potência e eficiência industriais 
 
 O aquecedor infravermelho Fema modelo 69358946 é a solução perfeita para aquecer ambientes industriais de forma rápida e eficiente. Com um poderoso desempenho de 15 kW, esse equipamento garante aquecimento constante e uniforme em oficinas, fábricas e armazéns, otimizando o conforto e a produtividade dos trabalhadores. 
 
 Características excepcionais: 
 
 • Potência de 15 kW: aquecimento eficaz para grandes áreas industriais. 
 • Combustível versátil: compatível com diesel e querosene para maior flexibilidade. 
 • Dimensões robustas: 950 mm (altura) x 1050 mm (comprimento) x 350 mm (largura). 
 • Tecnologia infravermelha: distribuição uniforme de calor sem perdas de energia. 
 • Construção robusta: design industrial durável para ambientes exigentes.",MLB-AIR_DUCT_HEATERS
True,"Home Spray pode conter álcool ou outros solventes inflamáveis, classificando-o como líquido inflamável.",MLB64879356,Kit Vela Aromática 180g + Home Spray 220ml Limão Haifa,,MLB-AIR_FRESHENERS
False,Uma fritadeira de ar (air fryer) é um eletrodoméstico e não contém materiais perigosos.,MLB35675502,Air fryer Multi Forno AirFryer Forno,,MLB-AIR_FRYERS
True,"O produto contém uma bateria de lítio integrada, que é classificada como material perigoso devido ao risco de inflamabilidade.",MLB62028935,Modofo Colchão Inflável King Com Bateria De Lítio Integrada Com Uma Bomba Inflável De Bateria De Lítio Embutida E Removível 204*184*44cm,"MODOFO Colchão inflável king size para acampamento com bomba inflável com bateria de lítio integrada 204 × 184 × 44 cm

Bateria de lítio recarregável e removível Bomba de ar Em comparação com outras marcas de colchões infláveis no mercado, o nosso colchão possui uma bomba de ar com bateria de lítio sem fios de 4000 mAh, eliminando as preocupações com a fonte de alimentação. Quer pretenda aproveitar o sol de inverno no jardim ou acampar ao ar livre no verão, ele satisfaz as suas necessidades.

Inflagem automática rápida: com um único toque, o colchão inflável infla em 3 minutos. A bomba integrada oferece um funcionamento mais silencioso e sem esforço. A bolsa de transporte incluída garante fácil armazenamento e transporte.

Durável, impermeável e com regulação de temperatura Fabricado em PVC robusto com uma parte superior impermeável com acabamento em veludo, o nosso colchão possui tecnologia multicamadas com resistência a furos. Este design ajuda a regular a temperatura corporal para uma respirabilidade ideal.

Base antiderrapante com tecnologia respirável O design patenteado da base estável com ventosas evita que o colchão duplo escorregue ou deslize acidentalmente.

Colchão king size para máximo conforto As dimensões totalmente infladas são 203*184*44 cm. A estrutura da superfície alivia vários pontos de pressão, suportando até 500 kg para um apoio personalizado e uma experiência de sono com gravidade zero. Compatível com qualquer lençol king size.

Cenários adequados
Este colchão de ar com bomba de bateria de íon-lítio integrada é ideal para acampar, uso doméstico, hóspedes, viagens portáteis ou como um presente distinto e prático para homens ou mulheres.

Se você tiver alguma dúvida ou preocupação sobre o produto, antes ou depois da compra, não hesite em entrar em contato comigo. Responderei em até 24 horas.

Lista de produtos:
1*colchão inflável King
1*Bomba de ar com bateria de lítio
3*Bicos cônicos de tamanhos diferentes
1*bolsa de armazenamento
2*Travesseiro inflável
1*kit de reparo
1*cabo de carregamento USB
1*Manual de instruções",MLB-AIR_MATTRESSES
False,"O produto é um brinquedo educativo e não há indicação de materiais perigosos como baterias de lítio de alta capacidade, líquidos inflamáveis ou outros químicos.",MLB63486985,Brinquedo Educativo Bola Flutuante Bate Volta Hoverball Led Branco,"A Bola Flutuante Bate Volta Hoverball Led da marca Zoop Toys é um brinquedo educativo que promete horas de diversão e aprendizado para crianças de 2 a 4 anos. Este produto combina a magia do futebol com a leveza da flutuação, permitindo que os pequenos desenvolvam habilidades motoras enquanto brincam.

A Bola Flutuante é ideal para estimular a imaginação e a criatividade das crianças, proporcionando uma experiência interativa e envolvente. Com seu design colorido e atraente, ela se destaca em qualquer ambiente, seja em casa ou ao ar livre.

Além de ser segura e fácil de usar, a bola possui luzes LED que tornam a brincadeira ainda mais emocionante, especialmente em ambientes com pouca luz. É uma excelente opção para pais que buscam um brinquedo que une diversão e aprendizado, promovendo o desenvolvimento físico e social dos pequenos.",MLB-AIR_POWER_BALLS
False,"O produto é um suporte de aço cromado para botijão, vaso ou galão, e não contém materiais perigosos.",MLB60108148,Suporte Botijão Gás Vaso Galão De Aguá Aço Cromado Com Rodinhas Rodas Base Para Botijões Uso Versatil Multiuso Compacto Resistente Suporte Seguro Prático Durável Moderno Tudo Para Cozinha E Jardim,"Material : aço cromado.
Medidas: 30x30x9 cm

CARACTERÍSTICAS:
- Cromado e com rodinhas de plástico 360º.
- Oferece a melhor estabilidade do mercado.
- Fácil locomoção do botijão, vasos ou galão.
- Produto com barras inferiores soldadas para melhor sustentação de peso.
- Barras redondas laterais duplas para acomodar facilmente.
- Evita a ferrugem do Butijão por estar suspenso.

CONTEÚDO DA EMBALAGEM:  

- 1 Suporte para botijão/vaso/galão em aço cromado

Acessórios e produtos práticos para facilitar o dia a dia.

Para organizar seu espaço, nosso Suporte de Butijão é da melhor qualidade. Com reforços de fixação nas rodinhas ele propõe força e segurança para seu piso, além das rodinhas terem uma rotação de 360º facilitando o manuseio. Produzido em aço cromado modelo reforçado. Pode ser usado como suporte para botijão de gás, vaso de planta ou galão de água mineral. 

Direito de Imagem (pessoas físicas)
Protegido pela Constituição Federal (Art. 5º, X) e pelo Código Civil (Art. 20 e 21).
Refere-se à imagem de pessoas (fotos, vídeos, retratos, voz etc.).
Se você usa a foto de uma pessoa sem autorização, é violação de direito de imagem.",MLB-ALUMINUM_FOILS
False,"O produto é um termômetro/higrômetro digital e relógio, que não contém materiais perigosos como mercúrio, baterias de lítio de grande porte ou outros químicos regulamentados.",MLB51871019,"Termômetro ambiental, higrômetro de temperatura, relógio digital",,MLB-AMBIENT_THERMOMETERS
False,"Um rádio relógio digital é um eletrônico de consumo comum e não contém materiais perigosos como inflamáveis, corrosivos, tóxicos ou explosivos. Pequenas baterias internas, se presentes, geralmente não classificam o produto como Hazmat para envio.",MLB26885918,Rádio Motobras Radio Relógio Digital,,MLB-AM_FM_SW_RADIOS
False,"O manômetro é um acessório para gases, mas não contém os materiais perigosos (oxigênio ou acetileno) em si.",MLB30995905,Manômetro Soldax Soldas Ltda OXIGENIO / ACETILENO,,MLB-ANALOG_PRESSURE_GAUGES
False,"O produto é um pluviômetro de acrílico, não contendo substâncias perigosas, baterias ou componentes que o classifiquem como material perigoso.",MLB53052848,Medidor de chuva e precipitação agrícola com suporte,"Conheça o pluviômetro Agro com suporte, a ferramenta ideal para quem busca um controle preciso das chuvas em sua lavoura. Feito de acrílico, esse pluviômetro se destaca por sua durabilidade e seu design transparente que permite uma fácil leitura do nível de água coletada. Com dimensões de 20 cm de altura e boca de 3,5 x 5 cm, este produto é funcional e prático. Ele vem com um suporte versátil que permite que seja instalado de duas maneiras: montado em um poste ou pregado no chão, facilitando o uso em vários ambientes. Pesando apenas 100 gramas, é leve e fácil de manusear. Esse pluviômetro é uma unidade por contêiner, ideal para monitorar e controlar a irrigação por aspersão, garantindo que suas plantas recebam a atenção necessária para um crescimento ideal. Com a marca Biper, a qualidade é garantida.",MLB-ANALOG_RAIN_GAUGES
False,Bicarbonato de sódio (barrilha) não é classificado como material perigoso para transporte.,MLB64752714,"Jacquard Products Soda Ash, 5 libras",,MLB-ANILINE_DYES
False,"A gaiola para animais não contém materiais perigosos como inflamáveis, corrosivos, tóxicos ou baterias.",MLB49839796,Rato Chinchila Rato Cuy Hamster Hedgehog Mouse Prevue Cage,,MLB-ANIMAL_CAGES
True,"Álcool gel contém álcool, que é um líquido inflamável.",MLB21868722,Álcool gel Porta DOSIFICADOR,,MLB-ANTIBACTERIAL_ALCOHOL
